UT,UT_author,full_name,family_name,given_name,author_order
WOS:000401981500006,"WOS:000401981500006_Burgess, Robin","Burgess, Robin",Burgess,Robin,2
WOS:000401981500006,"WOS:000401981500006_Das, Narayan","Das, Narayan",Das,Narayan,3
WOS:000401981500006,"WOS:000401981500006_Gulesci, Selim","Gulesci, Selim",Gulesci,Selim,4
WOS:000401981500006,"WOS:000401981500006_Rasul, Imran","Rasul, Imran",Rasul,Imran,5
WOS:000401981500006,"WOS:000401981500006_Sulaiman, Munshi","Sulaiman, Munshi",Sulaiman,Munshi,6
WOS:000388576700010,"WOS:000388576700010_Haushofer, Johannes","Haushofer, Johannes",Haushofer,Johannes,1
WOS:000388576700010,"WOS:000388576700010_Shapiro, Jeremy","Shapiro, Jeremy",Shapiro,Jeremy,2
WOS:000383326100005,"WOS:000383326100005_Hottman, Colin J.","Hottman, Colin J.",Hottman,Colin J.,1
WOS:000383326100005,"WOS:000383326100005_Redding, Stephen J.","Redding, Stephen J.",Redding,Stephen J.,2
WOS:000383326100005,"WOS:000383326100005_Weinstein, David E.","Weinstein, David E.",Weinstein,David E.,3
WOS:000371602500010,"WOS:000371602500010_Bierbrauer, Felix J.","Bierbrauer, Felix J.",Bierbrauer,Felix J.,1
WOS:000371602500010,"WOS:000371602500010_Boyer, Pierre C.","Boyer, Pierre C.",Boyer,Pierre C.,2
WOS:000359638900004,"WOS:000359638900004_Kremer, Michael","Kremer, Michael",Kremer,Michael,1
WOS:000359638900004,"WOS:000359638900004_Snyder, Christopher M.","Snyder, Christopher M.",Snyder,Christopher M.,2
WOS:000330451700008,"WOS:000330451700008_Kleven, Henrik Jacobsen","Kleven, Henrik Jacobsen",Kleven,Henrik Jacobsen,1
WOS:000330451700008,"WOS:000330451700008_Landais, Camille","Landais, Camille",Landais,Camille,2
WOS:000330451700008,"WOS:000330451700008_Saez, Emmanuel","Saez, Emmanuel",Saez,Emmanuel,3
WOS:000330451700008,"WOS:000330451700008_Schultz, Esben","Schultz, Esben",Schultz,Esben,4
